Day,Rain_Scaled,Date,Month
1.0,0.7803905597817784,1900-01-01,January
2.0,0.8005764140975673,1900-01-02,January
3.0,0.8205250403440052,1900-01-03,January
4.0,0.8402305273126112,1900-01-04,January
5.0,0.8596870358423125,1900-01-05,January
6.0,0.8788888005497276,1900-01-06,January
7.0,0.8978301315375671,1900-01-07,January
8.0,0.9165054160806689,1900-01-08,January
9.0,0.9349091202891815,1900-01-09,January
10.0,0.953035790748358,1900-01-10,January
11.0,0.9708800561345428,1900-01-11,January
12.0,0.9884366288067845,1900-01-12,January
13.0,1.0057003063737011,1900-01-13,January
14.0,1.0226659732350498,1900-01-14,January
15.0,1.0393286020975903,1900-01-15,January
16.0,1.0556832554647804,1900-01-16,January
17.0,1.0717250870998638,1900-01-17,January
18.0,1.0874493434619215,1900-01-18,January
19.0,1.1028513651144303,1900-01-19,January
20.0,1.1179265881059721,1900-01-20,January
21.0,1.1326705453226298,1900-01-21,January
22.0,1.1470788678116752,1900-01-22,January
23.0,1.1611472860761953,1900-01-23,January
24.0,1.174871631340244,1900-01-24,January
25.0,1.188247836784117,1900-01-25,January
26.0,1.2012719387494661,1900-01-26,January
27.0,1.2139400779137897,1900-01-27,January
28.0,1.2262485004340535,1900-01-28,January
29.0,1.2381935590590318,1900-01-29,January
30.0,1.2497717142100524,1900-01-30,January
31.0,1.260979535029871,1900-01-31,January
32.0,1.2718137003992938,1900-02-01,February
33.0,1.2822709999212998,1900-02-02,February
34.0,1.2923483348723543,1900-02-03,February
35.0,1.3020427191206259,1900-02-04,February
36.0,1.3113512800108367,1900-02-05,February
37.0,1.3202712592155015,1900-02-06,February
38.0,1.3288000135522762,1900-02-07,February
39.0,1.3369350157671787,1900-02-08,February
40.0,1.344673855283493,1900-02-09,February
41.0,1.3520142389160454,1900-02-10,February
42.0,1.3589539915507491,1900-02-11,February
43.0,1.3654910567891279,1900-02-12,February
44.0,1.3716234975576707,1900-02-13,February
45.0,1.377349496681828,1900-02-14,February
46.0,1.382667357424481,1900-02-15,February
47.0,1.3875755039887225,1900-02-16,February
48.0,1.3920724819848023,1900-02-17,February
49.0,1.3961569588610836,1900-02-18,February
50.0,1.3998277242989186,1900-02-19,February
51.0,1.4030836905712893,1900-02-20,February
52.0,1.405923892865117,1900-02-21,February
53.0,1.4083474895671655,1900-02-22,February
54.0,1.4103537625134264,1900-02-23,February
55.0,1.4119421172019293,1900-02-24,February
56.0,1.4131120829688963,1900-02-25,February
57.0,1.4138633131282246,1900-02-26,February
58.0,1.4141955850742043,1900-02-27,February
59.0,1.4141088003474873,1900-02-28,February
60.0,1.413602984664258,1900-03-01,March
61.0,1.4126782879086202,1900-03-02,March
62.0,1.411334984088184,1900-03-03,March
63.0,1.4095734712528547,1900-03-04,March
64.0,1.4073942713769105,1900-03-05,March
65.0,1.404798030204299,1900-03-06,March
66.0,1.4017855170573117,1900-03-07,March
67.0,1.3983576246086138,1900-03-08,March
68.0,1.3945153686167144,1900-03-09,March
69.0,1.3902598876249879,1900-03-10,March
70.0,1.385592442624292,1900-03-11,March
71.0,1.380514416679313,1900-03-12,March
72.0,1.375027314518729,1900-03-13,March
73.0,1.3691327620893323,1900-03-14,March
74.0,1.3628325060742275,1900-03-15,March
75.0,1.356128413375235,1900-03-16,March
76.0,1.3490224705597127,1900-03-17,March
77.0,1.341516783271874,1900-03-18,March
78.0,1.3336135756088487,1900-03-19,March
79.0,1.325315189461632,1900-03-20,March
80.0,1.3166240838211347,1900-03-21,March
81.0,1.3075428340495243,1900-03-22,March
82.0,1.2980741311170991,1900-03-23,March
83.0,1.2882207808048922,1900-03-24,March
84.0,1.2779857028732506,1900-03-25,March
85.0,1.2673719301966566,1900-03-26,March
86.0,1.2563826078650189,1900-03-27,March
87.0,1.2450209922517115,1900-03-28,March
88.0,1.2332904500486481,1900-03-29,March
89.0,1.2211944572686493,1900-03-30,March
90.0,1.2087365982154255,1900-03-31,March
91.0,1.1959205644214774,1900-04-01,April
92.0,1.1827501535542126,1900-04-02,April
93.0,1.1692292682906091,1900-04-03,April
94.0,1.1553619151607784,1900-04-04,April
95.0,1.1411522033607322,1900-04-05,April
96.0,1.1266043435347484,1900-04-06,April
97.0,1.111722646527664,1900-04-07,April
98.0,1.0965115221074704,1900-04-08,April
99.0,1.0809754776586218,1900-04-09,April
100.0,1.0651191168463812,1900-04-10,April
101.0,1.048947138252667,1900-04-11,April
102.0,1.0324643339837551,1900-04-12,April
103.0,1.0156755882502777,1900-04-13,April
104.0,0.9985858759199258,1900-04-14,April
105.0,0.9812002610432906,1900-04-15,April
106.0,0.9635238953532759,1900-04-16,April
107.0,0.9455620167385153,1900-04-17,April
108.0,0.9273199476912972,1900-04-18,April
109.0,0.9088030937303754,1900-04-19,April
110.0,0.8900169417992047,1900-04-20,April
111.0,0.8709670586400385,1900-04-21,April
112.0,0.8516590891443887,1900-04-22,April
113.0,0.8320987546803161,1900-04-23,April
114.0,0.8122918513970696,1900-04-24,April
115.0,0.7922442485075607,1900-04-25,April
116.0,0.7719618865491912,1900-04-26,April
117.0,0.7514507756235308,1900-04-27,April
118.0,0.7307169936154195,1900-04-28,April
119.0,0.7097666843919342,1900-04-29,April
120.0,0.6886060559818459,1900-04-30,April
121.0,0.6672413787360336,1900-05-01,May
122.0,0.6456789834694504,1900-05-02,May
123.0,0.6239252595851749,1900-05-03,May
124.0,0.6019866531810737,1900-05-04,May
125.0,0.5798696651396994,1900-05-05,May
126.0,0.5575808492019302,1900-05-06,May
127.0,0.5351268100249638,1900-05-07,May
128.0,0.5125142012252034,1900-05-08,May
129.0,0.48974972340665807,1900-05-09,May
130.0,0.46684012217540577,1900-05-10,May
131.0,0.44379218614071303,1900-05-11,May
132.0,0.42061274490344697,1900-05-12,May
133.0,0.39730866703230316,1900-05-13,May
134.0,0.3738868580284939,1900-05-14,May
135.0,0.3503542582795087,1900-05-15,May
136.0,0.3267178410025321,1900-05-16,May
137.0,0.302984610178119,1900-05-17,May
138.0,0.27916159847476646,1900-05-18,May
139.0,0.25525586516498355,1900-05-19,May
140.0,0.23127449403348116,1900-05-20,May
141.0,0.20722459127808374,1900-05-21,May
142.0,0.18311328340401947,1900-05-22,May
143.0,0.15894771511217073,1900-05-23,May
144.0,0.13473504718196402,1900-05-24,May
145.0,0.11048245434945586,1900-05-25,May
146.0,0.0861971231813196,1900-05-26,May
147.0,0.06188624994529523,1900-05-27,May
148.0,0.03755703847779891,1900-05-28,May
149.0,0.013216698049254124,1900-05-29,May
150.0,-0.011127558772162061,1900-05-30,May
151.0,-0.03546851825776026,1900-05-31,May
152.0,-0.059798967655926814,1900-06-01,June
153.0,-0.08411169732941169,1900-06-02,June
154.0,-0.10839950289169584,1900-06-03,June
155.0,-0.1326551873418202,1900-06-04,June
156.0,-0.15687156319700354,1900-06-05,June
157.0,-0.18104145462244609,1900-06-06,June
158.0,-0.2051576995576892,1900-06-07,June
159.0,-0.22921315183888527,1900-06-08,June
160.0,-0.2532006833163678,1900-06-09,June
161.0,-0.27711318596686707,1900-06-10,June
162.0,-0.30094357399977095,1900-06-11,June
163.0,-0.3246847859568012,1900-06-12,June
164.0,-0.34832978680448534,1900-06-13,June
165.0,-0.3718715700187653,1900-06-14,June
166.0,-0.3953031596612038,1900-06-15,June
167.0,-0.4186176124460925,1900-06-16,June
168.0,-0.44180801979790546,1900-06-17,June
169.0,-0.464867509898456,1900-06-18,June
170.0,-0.48778924972315874,1900-06-19,June
171.0,-0.510566447065815,1900-06-20,June
172.0,-0.5331923525512792,1900-06-21,June
173.0,-0.5556602616354488,1900-06-22,June
174.0,-0.577963516591967,1900-06-23,June
175.0,-0.6000955084850426,1900-06-24,June
176.0,-0.6220496791278345,1900-06-25,June
177.0,-0.6438195230257662,1900-06-26,June
178.0,-0.6653985893042663,1900-06-27,June
179.0,-0.6867804836202729,1900-06-28,June
180.0,-0.7079588700570499,1900-06-29,June
181.0,-0.7289274730016226,1900-06-30,June
182.0,-0.7496800790044041,1900-07-01,July
183.0,-0.7702105386203528,1900-07-02,July
184.0,-0.790512768231204,1900-07-03,July
185.0,-0.8105807518481671,1900-07-04,July
186.0,-0.8304085428945921,1900-07-05,July
187.0,-0.8499902659680714,1900-07-06,July
188.0,-0.8693201185814536,1900-07-07,July
189.0,-0.8883923728822337,1900-07-08,July
190.0,-0.9072013773498542,1900-07-09,July
191.0,-0.9257415584703544,1900-07-10,July
192.0,-0.9440074223879419,1900-07-11,July
193.0,-0.9619935565329252,1900-07-12,July
194.0,-0.9796946312255875,1900-07-13,July
195.0,-0.9971054012554763,1900-07-14,July
196.0,-1.014220707435676,1900-07-15,July
197.0,-1.0310354781315858,1900-07-16,July
198.0,-1.047544730763758,1900-07-17,July
199.0,-1.0637435732843368,1900-07-18,July
200.0,-1.079627205626687,1900-07-19,July
201.0,-1.0951909211277457,1900-07-20,July
202.0,-1.1104301079227186,1900-07-21,July
203.0,-1.1253402503116685,1900-07-22,July
204.0,-1.1399169300976193,1900-07-23,July
205.0,-1.1541558278957622,1900-07-24,July
206.0,-1.168052724413375,1900-07-25,July
207.0,-1.1816035017001003,1900-07-26,July
208.0,-1.1948041443681825,1900-07-27,July
209.0,-1.207650740782302,1900-07-28,July
210.0,-1.2201394842186906,1900-07-29,July
211.0,-1.2322666739931374,1900-07-30,July
212.0,-1.2440287165575865,1900-07-31,July
213.0,-1.255422126564983,1900-08-01,August
214.0,-1.2664435279020494,1900-08-02,August
215.0,-1.277089654689708,1900-08-03,August
216.0,-1.2873573522508295,1900-08-04,August
217.0,-1.2972435780450318,1900-08-05,August
218.0,-1.3067454025702507,1900-08-06,August
219.0,-1.3158600102308127,1900-08-07,August
220.0,-1.3245847001717581,1900-08-08,August
221.0,-1.332916887079165,1900-08-09,August
222.0,-1.3408541019462268,1900-08-10,August
223.0,-1.3483939928048772,1900-08-11,August
224.0,-1.355534325422737,1900-08-12,August
225.0,-1.3622729839651464,1900-08-13,August
226.0,-1.3686079716221486,1900-08-14,August
227.0,-1.3745374112001794,1900-08-15,August
228.0,-1.3800595456783271,1900-08-16,August
229.0,-1.385172738728962,1900-08-17,August
230.0,-1.3898754752026383,1900-08-18,August
231.0,-1.3941663615770425,1900-08-19,August
232.0,-1.3980441263699346,1900-08-20,August
233.0,-1.4015076205159223,1900-08-21,August
234.0,-1.4045558177069404,1900-08-22,August
235.0,-1.4071878146963717,1900-08-23,August
236.0,-1.4094028315667082,1900-08-24,August
237.0,-1.41120021196065,1900-08-25,August
238.0,-1.412579423275592,1900-08-26,August
239.0,-1.413540056821456,1900-08-27,August
240.0,-1.4140818279417895,1900-08-28,August
241.0,-1.4142045760981188,1900-08-29,August
242.0,-1.413908264917519,1900-08-30,August
243.0,-1.4131929822033809,1900-08-31,August
244.0,-1.412058939909416,1900-09-01,September
245.0,-1.4105064740768267,1900-09-02,September
246.0,-1.4085360447347446,1900-09-03,September
247.0,-1.406148235763913,1900-09-04,September
248.0,-1.4033437547236582,1900-09-05,September
249.0,-1.40012343264224,1900-09-06,September
250.0,-1.3964882237705933,1900-09-07,September
251.0,-1.3924392052995551,1900-09-08,September
252.0,-1.3879775770406924,1900-09-09,September
253.0,-1.38310466107074,1900-09-10,September
254.0,-1.3778219013398698,1900-09-11,September
255.0,-1.3721308632437983,1900-09-12,September
256.0,-1.3660332331599407,1900-09-13,September
257.0,-1.3595308179476882,1900-09-14,September
258.0,-1.3526255444129969,1900-09-15,September
259.0,-1.3453194587374464,1900-09-16,September
260.0,-1.3376147258719,1900-09-17,September
261.0,-1.329513628894986,1900-09-18,September
262.0,-1.321018568336579,1900-09-19,September
263.0,-1.3121320614664571,1900-09-20,September
264.0,-1.3028567415483925,1900-09-21,September
265.0,-1.2931953570598578,1900-09-22,September
266.0,-1.2831507708775838,1900-09-23,September
267.0,-1.2727259594292355,1900-09-24,September
268.0,-1.2619240118114343,1900-09-25,September
269.0,-1.250748128874382,1900-09-26,September
270.0,-1.2392016222733886,1900-09-27,September
271.0,-1.227287913487556,1900-09-28,September
272.0,-1.2150105328059118,1900-09-29,September
273.0,-1.2023731182813255,1900-09-30,September
274.0,-1.1893794146524526,1900-10-01,October
275.0,-1.17603327223411,1900-10-02,October
276.0,-1.1623386457763263,1900-10-03,October
277.0,-1.1482995932924778,1900-10-04,October
278.0,-1.1339202748567982,1900-10-05,October
279.0,-1.1192049513716789,1900-10-06,October
280.0,-1.104157983305046,1900-10-07,October
281.0,-1.0887838293982794,1900-10-08,October
282.0,-1.0730870453449808,1900-10-09,October
283.0,-1.0570722824410321,1900-10-10,October
284.0,-1.040744286206308,1900-10-11,October
285.0,-1.024107894978479,1900-10-12,October
286.0,-1.007168038479309,1900-10-13,October
287.0,-0.9899297363538734,1900-10-14,October
288.0,-0.9723980966831206,1900-10-15,October
289.0,-0.9545783144702538,1900-10-16,October
290.0,-0.9364756701013193,1900-10-17,October
291.0,-0.9180955277805333,1900-10-18,October
292.0,-0.8994433339407429,1900-10-19,October
293.0,-0.8805246156295283,1900-10-20,October
294.0,-0.8613449788714244,1900-10-21,October
295.0,-0.8419101070067336,1900-10-22,October
296.0,-0.8222257590074313,1900-10-23,October
297.0,-0.8022977677706464,1900-10-24,October
298.0,-0.7821320383902689,1900-10-25,October
299.0,-0.7617345464071268,1900-10-26,October
300.0,-0.7411113360383034,1900-10-27,October
301.0,-0.7202685183861188,1900-10-28,October
302.0,-0.6992122696272701,1900-10-29,October
303.0,-0.6779488291826943,1900-10-30,October
304.0,-0.656484497868695,1900-10-31,October
305.0,-0.6348256360298855,1900-11-01,November
306.0,-0.6129786616544566,1900-11-02,November
307.0,-0.5909500484724192,1900-11-03,November
308.0,-0.5687463240372723,1900-11-04,November
309.0,-0.5463740677917623,1900-11-05,November
310.0,-0.5238399091182491,1900-11-06,November
311.0,-0.5011505253742711,1900-11-07,November
312.0,-0.4783126399139099,1900-11-08,November
313.0,-0.4553330200955117,1900-11-09,November
314.0,-0.4322184752763657,1900-11-10,November
315.0,-0.4089758547949571,1900-11-11,November
316.0,-0.38561204594135085,1900-11-12,November
317.0,-0.3621339719163446,1900-11-13,November
318.0,-0.33854858977996755,1900-11-14,November
319.0,-0.314862888389963,1900-11-15,November
320.0,-0.29108388633082893,1900-11-16,November
321.0,-0.2672186298340716,1900-11-17,November
322.0,-0.24327419069024087,1900-11-18,November
323.0,-0.21925766415342562,1900-11-19,November
324.0,-0.19517616683875122,1900-11-20,November
325.0,-0.17103683461359592,1900-11-21,November
326.0,-0.146846820483068,1900-11-22,November
327.0,-0.12261329247041619,1900-11-23,November
328.0,-0.09834343149299492,1900-11-24,November
329.0,-0.07404442923439798,1900-11-25,November
330.0,-0.049723486013408154,1900-11-26,November
331.0,-0.025387808650391735,1900-11-27,November
332.0,-0.0010446083317557356,1900-11-28,November
333.0,0.023298901526871026,1900-11-29,November
334.0,0.047635507418141446,1900-11-30,November
335.0,0.0719579978805082,1900-12-01,December
336.0,0.09625916563512131,1900-12-02,December
337.0,0.12053180972151374,1900-12-03,December
338.0,0.14476873763139617,1900-12-04,December
339.0,0.16896276743995514,1900-12-05,December
340.0,0.19310672993400457,1900-12-06,December
341.0,0.21719347073638812,1900-12-07,December
342.0,0.24121585242597612,1900-12-08,December
343.0,0.26516675665262573,1900-12-09,December
344.0,0.2890390862465122,1900-12-10,December
345.0,0.31282576732116735,1900-12-11,December
346.0,0.33651975136963397,1900-12-12,December
347.0,0.36011401735308013,1900-12-13,December
348.0,0.3836015737812827,1900-12-14,December
349.0,0.40697546078437896,1900-12-15,December
350.0,0.43022875217519146,1900-12-16,December
351.0,0.45335455750164066,1900-12-17,December
352.0,0.4763460240885072,1900-12-18,December
353.0,0.4991963390680497,1900-12-19,December
354.0,0.521898731398784,1900-12-20,December
355.0,0.5444464738719078,1900-12-21,December
356.0,0.5668328851047078,1900-12-22,December
357.0,0.5890513315203944,1900-12-23,December
358.0,0.6110952293137848,1900-12-24,December
359.0,0.6329580464022115,1900-12-25,December
360.0,0.6546333043611361,1900-12-26,December
361.0,0.6761145803438358,1900-12-27,December
362.0,0.6973955089846321,1900-12-28,December
363.0,0.7184697842850883,1900-12-29,December
364.0,0.7393311614826136,1900-12-30,December
365.0,0.759973458900918,1900-12-31,December
